Genes	B	CD4	CD8	CLP	CMP	Ery	GMP-A	GMP-B	GMP-C	HSC	LMPP	MEP	Mono	MPP	NK	pDC
TCP1	6023	8847	8089	13632	34362	11635	4447	4584	7178	18405	15079	41279	10300	22576	8240	10259
MRPL18	1067	2282	1733	2067	4003	2010	750	751	756	2031	2757	5072	1897	2568	1773	977
PNLDC1	7	7	2	5	11	9	0	0	0	4	0	25	1	4	8	2
MAS1	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0
IGF2R	7413	16753	13354	4825	613	2765	285	317	2776	1032	2293	2265	49766	688	42241	23912
SLC22A1	19	31	33	2	0	3	0	5	0	1	0	1	19	0	56	5
SLC22A2	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A3	0	27	14	0	0	0	0	0	0	0	0	0	0	0	161	0
LPA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
PLG	10	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0
MAP3K4	2849	5103	3119	3061	5471	1848	812	890	1346	3491	3775	7340	2835	3376	4126	1307
AGPAT4	721	1175	815	313	1874	1888	221	166	206	1540	834	2294	1671	1725	2368	172
PACRG	112	60	22	0	35	0	12	0	0	25	24	12	11	68	0	0
PARK2	194	431	238	1	281	0	16	23	2	309	98	515	18	390	24	0
AL078585.1	0	2	2	1	0	0	0	0	0	1	0	0	0	4	0	0
QKI	11413	9177	7039	7023	19782	6765	2730	4419	10675	15325	8729	22521	44201	17754	12171	14314
C6orf118	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
SDIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE10A	0	0	0	0	1	0	0	0	0	50	0	1	0	58	0	0
T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PRR18	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0
SFT2D1	1111	848	605	739	1613	463	180	141	371	720	984	1763	1891	1107	1281	577
MPC1	865	2156	1656	1046	3489	1515	441	378	526	1102	2079	3403	3056	1151	1327	525
Z98049.1	15	21	0	1	1	0	58	4	83	9	3	0	2	43	1	8
RPS6KA2	451	760	248	215	293	0	86	139	862	927	1105	61	527	1178	143	2167
RP11-514O12.4	9	0	1	1	2	0	0	0	0	0	2	0	3	5	0	5
RNASET2	3250	4467	1307	1204	1207	10	522	579	1063	1231	2139	758	4674	1214	791	4251
FGFR1OP	692	1036	742	1355	1359	1451	179	184	242	1078	1139	1435	630	1061	543	732
CCR6	3131	1472	250	3	5	0	0	2	0	0	1	4	1	1	68	18
TCP10L2	5	7	5	1	6	0	0	0	0	12	15	0	0	9	1	0
GPR31	7	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0
UNC93A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TTLL2	5	40	22	2	0	0	0	0	0	24	0	0	0	0	0	0
TCP10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009178.1	81	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
C6orf123	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
MLLT4	2392	1151	509	282	273	128	95	135	110	3381	240	261	492	2777	461	248
KIF25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRMD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DACT2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SMOC2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THBS2	38	52	62	19	102	0	19	10	100	58	34	101	212	69	220	16
WDR27	728	677	483	228	616	85	97	90	261	636	594	914	152	611	382	148
C6orf120	1473	1853	1587	1417	1256	1436	172	80	1238	992	896	1180	2359	1648	1418	240
PHF10	5559	5605	4167	6810	4741	3616	716	867	1253	4145	2840	5342	1587	4861	2637	1808
TCTE3	5	7	3	3	7	3	4	0	13	6	0	10	3	4	0	0
ERMARD	1038	1464	1266	1292	1116	143	148	215	207	895	997	1355	773	1009	1279	358
DLL1	27	37	71	34	10	0	1	14	0	46	13	4	3	40	49	3
FAM120B	5937	8292	5888	4796	7264	1299	989	769	3217	6099	3840	7784	6148	6515	6283	1759
PSMB1	2692	5300	4290	3404	6787	2750	551	1074	1149	3906	3024	7808	4824	6088	4160	1453
TBP	1511	2497	1873	1927	2702	796	713	1007	795	1988	1825	3827	1765	2403	1737	1321
PDCD2	4420	9061	7089	4362	7767	1358	800	1030	1661	5859	4068	8336	4270	6797	5168	1208
FAM20C	0	0	1	2	50	1	17	195	194	49	30	14	603	36	8	114
AC145676.2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AC187652.1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
PDGFA	2	5	19	3	32	9	0	39	36	163	9	10	8	96	4	0
HEATR2	313	531	317	419	2112	202	449	618	378	1231	1066	3289	492	1385	190	209
PRKAR1B	72	153	148	2	178	7	165	18	29	95	52	590	20	154	20	25
SUN1	1032	2166	1154	873	2343	416	121	150	1184	1594	753	3140	3455	2214	775	178
GET4	32	5	5	5	6	4	2	2	0	22	3	7	48	3	20	1
ADAP1	3	5	18	1	25	1	17	13	0	4	14	2	310	7	110	20
COX19	1457	2123	1666	795	1963	163	448	513	99	2217	780	1657	2424	2360	1093	1648
CYP2W1	3	2	0	0	1	0	0	0	0	1	1	1	0	0	0	0
GPR146	16	34	4	1	9	118	0	0	0	32	15	50	29	35	7	0
GPER1	3	3	1	5	1	0	0	9	19	2	14	3	267	3	5	0
C7orf50	259	299	164	8	316	4	70	34	59	219	180	350	426	386	175	56
ZFAND2A	575	1177	695	410	698	177	47	44	248	480	201	529	1506	646	745	679
UNCX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICALL2	0	0	0	0	25	12	15	61	13	4	14	114	5	15	0	25
INTS1	683	784	372	111	2271	38	1215	860	1792	967	899	2705	1644	1636	567	1868
MAFK	9	3	4	4	9	0	1	6	84	9	16	23	34	47	6	39
TMEM184A	15	12	15	2	36	2	90	0	767	11	10	11	24	48	4	0
PSMG3	53	408	314	86	495	231	467	490	1324	336	250	942	422	553	246	960
ELFN1	0	0	0	0	1	0	0	0	66	2	0	1	0	5	0	0
AC074389.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC110781.3	8	16	7	2	4	9	0	0	0	3	22	12	12	1	4	1
MAD1L1	284	576	287	27	280	13	77	74	208	191	239	471	489	363	285	148
FTSJ2	845	1064	820	1165	1851	439	323	268	681	875	1232	2690	1811	878	1055	1353
NUDT1	245	489	365	223	1972	316	427	978	761	846	977	1598	575	1213	200	1747
EIF3B	1377	2643	1711	1051	8646	1011	1634	1639	2448	4370	4493	13424	3923	6669	2237	1954
SNX8	166	54	64	38	288	32	52	34	491	116	123	552	333	227	41	171
CHST12	55	55	121	41	1085	2	309	285	493	307	476	827	139	845	925	337
LFNG	277	432	222	52	31	1	0	7	57	21	81	4	1351	36	863	52
BRAT1	144	153	128	18	163	3	40	53	314	70	184	220	344	141	92	224
IQCE	102	297	153	129	434	72	407	553	608	170	362	494	1413	349	308	1487
TTYH3	222	66	64	299	2666	2	843	1434	3446	975	1460	1742	6568	1991	348	2884
AMZ1	661	124	54	205	285	53	21	80	444	875	492	316	229	672	64	299
GNA12	6222	1532	1006	1948	7088	1515	1071	1448	3112	8058	4380	9167	4244	9997	838	7747
CARD11	2225	3451	2163	118	223	0	52	112	1111	470	593	430	7	512	2818	5997
AC091801.1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
SDK1	188	37	4	24	44	0	25	50	0	74	101	15	8	28	0	54
FOXK1	2398	5187	3420	778	4886	44	1775	2338	5504	3773	2416	5126	2994	5666	3409	2335
AP5Z1	81	264	169	24	259	20	135	227	621	266	150	434	396	360	245	438
PAPOLB	14	0	0	7	30	1	1	0	0	11	0	27	2	3	12	0
RADIL	3	20	9	3	12	0	2	2	0	37	7	25	11	29	12	17
MMD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBAK-RBAKDN	132	205	182	23	92	11	1	13	15	76	53	117	59	80	154	38
RBAK	2068	2589	2189	1299	1986	403	127	439	378	2055	1220	2275	1583	1832	1588	718
WIPI2	2856	3309	2384	1899	5665	2458	1119	959	2174	3330	2397	7532	5205	5200	2136	2448
SLC29A4	3	15	4	7	40	0	0	2	234	29	26	14	24	47	26	41
TNRC18	187	565	384	161	4864	1	3501	3332	9516	3903	2214	3552	3231	5686	970	4370
FBXL18	84	51	32	35	163	14	44	66	41	86	57	231	146	184	125	84
ACTB	146427	341265	322031	117156	386578	49945	59236	88561	227822	171147	136841	375381	928852	266250	310882	176137
FSCN1	2	7	8	1	2086	0	181	151	390	1085	694	5795	235	2064	7	51
RNF216	5969	8804	6503	2373	6684	318	1167	1010	2434	5531	3594	8835	6863	6594	5316	2082
OCM	15	208	56	1	13	0	16	3	0	11	4	3	8	5	30	0
CCZ1	226	376	210	271	458	137	67	57	95	285	213	426	550	370	383	269
RSPH10B	19	30	3	10	6	4	0	0	0	5	4	11	24	4	9	0
PMS2	1339	2098	1766	1487	2340	611	300	592	987	1573	1702	2954	1280	1947	1771	745
AIMP2	87	156	126	157	677	53	232	470	1069	194	323	1103	301	444	202	129
ANKRD61	153	256	173	117	212	1344	2	22	55	86	67	262	99	84	179	15
EIF2AK1	7451	12088	9059	7311	24616	72824	4569	4340	8699	11153	9022	28282	12327	14296	9612	10116
USP42	1549	3140	2148	2084	2220	860	685	504	552	1987	1457	2245	2073	2279	2750	988
CYTH3	466	294	416	478	496	172	47	238	119	324	210	823	439	455	725	449
FAM220A	1325	1748	1368	2300	1940	217	334	491	923	1852	1351	2082	1661	1921	1512	310
RAC1	4929	8450	6225	11633	18011	7699	3886	5525	12623	16727	10309	20385	25107	18996	10931	11865
FLJ20306	3	22	5	5	25	0	0	0	0	15	4	8	16	34	6	1
DAGLB	232	499	370	750	1031	148	635	562	703	668	852	932	1880	768	381	617
KDELR2	3006	5575	3917	4892	14796	4227	2420	3283	5744	6847	4458	11005	12868	8124	6693	3258
GRID2IP	4	14	3	10	17	0	35	0	2	20	1	1	0	39	7	1
ZDHHC4	449	712	528	160	1422	146	85	195	76	950	778	1603	702	1128	629	310
C7orf26	710	1576	959	634	1777	108	457	369	1224	994	730	2469	1811	1695	991	1643
ZNF853	84	111	191	4	314	2	109	63	590	194	132	224	2	253	177	125
AC073343.1	14	48	70	40	69	11	10	49	1	79	69	32	34	92	111	26
ZNF12	2054	3034	2553	2440	3098	682	147	195	179	3391	2048	3654	1529	3740	2653	597
RSPH10B2	6	3	2	1	0	0	0	0	2	0	1	1	2	0	1	1
CCZ1B	197	299	266	372	499	124	36	76	65	280	215	380	444	236	377	212
C1GALT1	4207	3931	3788	1665	3838	6141	385	428	1699	2275	2413	4467	3413	2961	4467	1523
COL28A1	24	3	17	2	8	0	0	0	0	10	1	2	0	4	7	0
MIOS	5731	3103	2905	2016	4506	1480	987	839	1052	3871	2851	5034	4211	4342	2685	2005
RPA3-AS1	1795	2676	1872	908	1652	743	140	189	287	1010	951	1769	1709	1176	1325	413
RPA3	1166	1112	938	1291	1390	1877	58	93	49	717	806	1723	335	824	651	321
GLCCI1	3310	4393	3348	2520	3049	479	925	442	770	2157	1334	3820	321	2272	7786	2050
ICA1	9	302	20	91	2619	64	361	229	306	2866	1057	3754	290	2927	23	9
NXPH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA4	3452	8578	6058	7156	10555	2749	1560	1679	2283	5351	5357	9687	6520	7351	4830	2945
PHF14	6724	7347	6103	7335	13628	875	1434	1265	1815	9302	7327	14613	5089	10463	5448	4645
THSD7A	6	4	3	12	633	0	138	359	27	786	32	60	0	862	0	0
TMEM106B	4739	13968	10483	5227	8380	479	611	575	904	7543	4171	10149	3313	8505	4657	444
VWDE	1	113	67	19	1645	94	199	104	69	2372	1606	2824	2	1806	9	10
SCIN	300	1	3	2	124	1	0	5	0	5	1	25	28	151	2	21
ARL4A	2915	1108	909	557	2520	16230	369	338	212	2612	1351	3529	2765	3128	329	540
ETV1	12	12	92	34	85	0	3	1	9	82	56	83	27	172	0	11
DGKB	0	0	0	1	1	0	0	0	0	6	0	2	0	0	0	0
AGMO	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0
MEOX2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ISPD	62	30	88	34	1028	182	21	10	7	305	164	867	17	409	117	4
LRRC72	1	7	0	0	3	0	0	0	0	1	1	1	0	0	0	0
SOSTDC1	2	1	20	0	122	4	22	0	0	31	16	476	1	21	1	0
ANKMY2	962	1284	1109	1866	4048	499	185	338	543	2283	1587	4778	736	2452	1632	622
BZW2	1570	3526	2958	4874	15409	1346	1429	1505	2658	10036	8077	14819	2586	11831	1288	1626
TSPAN13	5608	12	5	3180	1656	2278	57	109	861	1585	832	1172	0	1564	67	926
AC073333.1	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
AGR2	225	2	0	41	1	5	0	0	0	3	6	0	0	12	4	2
AGR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHR	2458	10712	4553	2436	13862	100	2514	3910	10257	26814	7000	7530	71163	28154	1793	3343
SNX13	6232	4629	3771	4009	3734	3366	421	285	834	3293	2674	3201	6093	3328	4156	651
PRPS1L1	1	4	0	0	2	0	0	0	0	0	0	4	0	0	0	0
HDAC9	9927	112	246	669	1663	3	356	796	2672	2696	2501	195	4380	2391	1774	2576
TWIST1	0	0	0	1	6	0	0	0	0	0	1	4	0	6	0	0
FERD3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TWISTNB	2651	1929	1801	1791	4298	730	572	398	716	2935	2669	4210	1161	3668	1621	978
TMEM196	0	0	1	0	0	0	0	0	0	4	4	0	0	12	0	0
MACC1	581	32	31	187	3140	199	154	291	76	5723	2646	2814	16	5470	124	74
ITGB8	4	2	1	6	2453	0	32	35	0	1707	230	53	32	1761	0	51
ABCB5	0	1	0	0	0	469	0	0	0	7	0	3	1	3	0	1
SP8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SP4	5752	10090	7512	3826	3630	3739	187	284	1043	4477	2105	3747	1632	4169	7764	1664
DNAH11	1033	184	99	753	463	39	19	51	107	329	337	285	19	458	13	2086
CDCA7L	10030	1907	1070	9354	8691	365	3133	2646	4605	6901	6038	6247	301	8238	149	5260
RAPGEF5	2209	15	11	1269	225	3	12	10	12	46	201	107	4	97	11	36
STEAP1B	550	2	0	0	1	0	0	0	0	1	2	6	0	0	7	0
IL6	1934	2	0	0	3	1	0	0	0	1	0	0	9	0	0	0
TOMM7	7658	22334	11193	3270	6329	1239	1099	1395	2053	5604	3247	6855	4882	6883	5078	1962
FAM126A	8549	3343	2097	4640	3391	1456	577	185	981	2231	2096	4026	3267	3158	4942	1076
KLHL7	2122	3275	2936	4160	4522	2760	275	371	415	2744	2615	5889	2615	2637	3191	569
AC005082.1	0	3	2	3	0	3	0	0	0	0	2	0	1	5	1	0
NUPL2	1826	1157	879	1104	2144	771	242	109	144	1250	1282	2566	1527	1418	1242	291
GPNMB	4	0	0	107	30	0	26	0	3	98	33	51	450	69	0	2
MALSU1	793	1702	1159	1322	2370	474	720	574	1635	1277	1827	2750	862	1479	1014	320
IGF2BP3	47	141	66	26	280	3	32	94	1	458	350	46	244	513	53	16
TRA2A	7325	6074	4658	6356	4661	1376	1124	631	1370	4205	2810	5002	4467	4772	5138	2639
CCDC126	576	462	323	83	837	2	4	17	80	219	150	322	736	447	419	48
FAM221A	236	349	281	368	510	34	8	74	8	272	303	278	165	347	215	61
STK31	23	30	16	109	17	6	1	0	0	28	21	27	22	11	28	0
NPY	0	0	0	1416	0	0	9	3	3	1	0	0	0	5	0	52
MPP6	5695	4955	5025	2919	6569	534	1074	920	1472	8234	4756	9533	160	8304	1275	890
DFNA5	758	96	116	289	52	2	15	11	18	107	142	169	41	137	32	37
OSBPL3	2475	4128	2843	1066	4715	591	563	244	728	3364	4331	2999	1730	4206	4793	1124
CYCS	10404	11561	11004	12488	23371	7545	3050	2821	5067	10785	9121	24394	10698	17341	12076	10035
C7orf31	1819	1844	1811	597	1397	56	234	432	663	1808	844	1082	1924	1699	1181	750
NPVF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFE2L3	2153	3574	2580	2172	5549	1295	271	349	229	5657	3261	4458	4585	6228	1835	337
CBX3	8045	11653	10189	24953	15490	20304	1736	2148	4210	9227	13511	17373	6410	12800	10110	4579
HNRNPA2B1	71906	99392	87201	136657	152115	77317	76248	84910	189595	71914	90237	166739	94001	91651	97917	193832
SNX10	2779	652	730	320	1043	3	160	129	449	1556	1496	960	10223	1399	1434	440
KIAA0087	0	2	2	22	8	0	0	0	0	474	1258	5	0	399	1	0
C7orf71	243	15	15	13	6	1	0	0	0	5	3	10	29	5	12	6
SKAP2	10977	1547	2677	7839	14103	1921	1184	2208	4431	7540	8722	10099	32265	11078	10789	6996
HOXA1	8	57	57	0	28	1	8	1	5	15	14	51	64	15	113	0
HOXA2	18	9	33	9	37	0	1	0	1	177	97	15	388	45	162	0
HOXA4	1	14	15	6	171	1	34	8	46	123	74	104	2	128	39	0
HOXA5	0	6	1	37	5817	10	869	1193	995	3874	1508	790	233	3559	23	148
HOXA6	0	0	0	2	340	0	234	30	136	704	238	174	0	710	7	75
HOXA3	8	3	1	16	141	0	9	17	1	489	356	29	3	530	12	16
HOXA7	0	0	0	0	184	0	12	17	59	221	142	71	0	260	6	1
HOXA9	0	1	0	58	530	12	111	68	46	445	464	405	4	531	2	182
RP1-170O19.20	0	0	0	0	10	0	0	0	0	14	0	2	0	2	0	0
HOXA10	0	6	1	320	1515	77	135	143	155	1335	1063	1622	29	1401	116	264
HOXA11	0	0	0	1	1	0	0	0	0	0	1	1	1	10	0	0
HOXA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVX1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HIBADH	880	1818	1431	1723	2541	602	483	565	1299	2517	2050	3065	1578	2661	1381	606
TAX1BP1	18349	31618	24719	18393	22976	31171	2601	2616	4805	15805	9860	17237	35517	16318	25946	8610
JAZF1	4471	1522	1500	237	808	20306	4	11	34	122	68	1294	5911	103	6138	430
CREB5	33	2	7	114	223	2	36	48	386	67	43	58	22409	253	100	178
CHN2	17	210	1512	12	4482	81	499	487	822	1529	264	1255	6956	1219	3942	72
CPVL	9	14	9	18	6876	1233	639	621	919	1014	959	5189	52733	1759	416	249
PRR15	0	0	0	24	142	0	28	14	0	213	54	232	0	299	0	0
WIPF3	32	3	30	8	48	0	33	4	1	41	34	1822	0	48	15	12
SCRN1	5420	385	1954	1679	15109	294	2371	3329	5778	18029	10369	12640	4512	17933	5527	8171
FKBP14	161	217	165	68	1182	51	98	65	141	602	345	1119	379	852	242	271
PLEKHA8	919	1438	1158	1400	2898	94	288	584	698	1336	907	4427	1621	1625	1466	436
ZNRF2	1774	1110	815	1588	1831	309	391	472	1012	807	913	2323	1869	1132	1754	1473
NOD1	474	390	194	206	593	15	184	86	435	564	453	589	347	685	390	353
GGCT	696	867	802	987	3459	334	498	596	853	1793	1489	3710	786	2112	495	716
GARS	3620	6152	4798	5501	11695	4756	1082	1621	3168	5751	5422	12708	6343	7354	4200	2827
INMT	0	5	0	0	2	0	0	0	0	3	0	7	4	15	1	1
CRHR2	4	11	4	0	2	0	0	0	0	7	2	10	4	8	8	0
INMT-FAM188B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM188B	31	26	20	68	238	130	33	16	29	154	143	377	24	306	34	40
AQP1	2	14	18	1	130	8342	0	0	0	16	36	19	0	30	1	14
GHRHR	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NEUROD6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC129	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
PPP1R17	0	0	0	0	0	0	0	0	0	17	0	0	33	4	4	0
PDE1C	0	0	0	0	80	0	9	0	0	994	5	3	2	1266	7	12
LSM5	1222	2409	1929	1963	3502	825	141	128	641	2057	1656	3534	879	2489	756	305
AVL9	6334	6082	4656	2451	7572	695	1178	1485	3003	4004	3748	6539	5292	5304	4394	2495
KBTBD2	6915	5898	4569	4098	4165	2606	875	695	1870	3446	2035	3852	5093	3671	6106	4159
FKBP9	98	76	48	15	1024	14	53	15	1	2614	131	1516	832	1943	63	32
NT5C3A	3709	2720	1594	1086	4002	4374	196	244	315	3681	1537	4230	1565	3772	1440	323
RP9	1117	478	392	569	445	78	89	122	29	300	235	744	231	506	354	314
BBS9	4586	8415	6839	1777	4104	279	370	447	941	4984	2849	3442	2577	4171	6794	632
RP11-89N17.1	7	17	10	0	0	0	0	0	1	9	5	1	0	10	3	0
BMPER	2	10	8	7	7	0	0	0	0	5	0	4	1	6	20	0
NPSR1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005493.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPY19L1	732	955	954	1338	4412	1446	213	304	965	1788	1966	5272	2502	2859	2551	440
TBX20	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
HERPUD2	4516	10637	8277	2715	5348	1771	1312	1189	2262	4245	2454	6729	6428	5600	8326	1259
SEPT7	16480	20761	18970	15223	19083	5208	2056	2287	4346	11772	9320	17268	12758	13345	30177	9565
PP13004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEPD1	3	319	112	132	603	11	43	76	156	418	285	354	1118	258	24	537
ANLN	154	118	76	6013	5920	11210	641	825	1132	1369	2825	5509	1235	1206	176	3009
KIAA0895	325	122	189	160	556	30	51	93	104	615	314	1119	172	540	4	20
AOAH	186	893	4163	101	5039	12	177	477	289	1329	163	3049	39132	1801	16219	54
ELMO1	9714	12672	6088	5841	29839	22	6630	6799	14750	40033	14942	19883	14229	53381	5979	4355
GPR141	0	8	98	1	956	0	68	14	105	533	150	116	1742	1088	2065	2
EPDR1	45	20	72	2131	3575	804	309	166	625	1779	2440	6450	116	1927	198	521
NME8	0	3	55	0	455	0	8	2	36	310	33	87	679	419	1147	13
SFRP4	5	0	1	72	30	15	6	0	69	12	12	47	5	25	34	58
STARD3NL	1705	1343	1559	3103	4719	604	415	362	805	3777	2459	3092	3842	4347	4536	2011
AMPH	11	116	143	99	5	0	1	4	0	0	50	0	188	10	295	19
FAM183B	74	84	49	0	112	0	0	0	149	106	14	76	73	50	2	49
VPS41	5661	4168	3283	3659	7592	1228	701	795	1911	6410	5047	6996	8200	7731	5494	4857
POU6F2	0	0	0	1	5	0	0	0	0	0	1	0	1	0	0	0
YAE1D1	747	1353	1241	625	897	356	76	149	42	1089	824	878	209	1100	1048	101
RALA	2125	3624	2872	3380	4847	221	276	312	580	3512	2840	2780	2051	3592	2215	1085
CDK13	12737	9111	6616	13013	7712	1720	1094	957	2331	6163	4462	7010	6447	5540	8753	2072
MPLKIP	1023	1623	1154	799	1358	325	172	100	287	1471	796	1632	895	1399	583	200
INHBA	5	0	0	0	136	0	25	17	5	169	17	32	145	31	0	0
GLI3	2	40	9	100	4	0	5	0	10	4	0	0	0	51	795	0
C7orf25	26	63	40	7	12	0	2	0	0	35	20	22	30	27	43	15
PSMA2	1466	1342	1060	836	1684	494	88	89	163	771	874	1484	1029	1077	932	164
MRPL32	736	1632	1301	980	2080	331	125	157	3	1271	1187	2704	798	1351	779	238
HECW1	0	3	0	5	6	1	0	0	0	0	1	6	0	0	1	0
STK17A	11317	11217	13842	2680	3716	3851	454	438	706	1940	1462	4035	1874	2698	15896	2711
COA1	7569	6380	5856	3066	4605	1840	403	303	729	3103	2271	4852	2503	3829	5180	1189
BLVRA	131	1249	626	485	3221	1368	298	240	2278	2892	1358	6506	5586	3078	664	147
MRPS24	40	184	157	26	49	62	2	0	3	61	49	59	83	73	107	1
URGCP-MRPS24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URGCP	787	1065	711	294	1537	36	228	217	269	1020	654	1681	680	1494	544	313
UBE2D4	1049	1896	1042	607	2399	13	182	203	491	1559	903	2491	2039	2215	847	314
SPDYE1	258	227	179	264	117	68	10	6	41	89	54	173	298	133	253	51
DBNL	7124	6955	5165	2737	3444	155	667	1464	3262	2763	1862	2868	7942	3275	3819	8137
PGAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLM	1294	1033	883	155	859	1	65	200	872	628	483	568	1052	1379	475	471
AEBP1	265	402	224	577	3069	4	1403	767	1718	913	445	991	10	1021	107	3169
POLD2	638	997	720	276	3695	181	1418	1346	3447	1820	1968	4916	493	2875	283	1587
MYL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCK	0	7	2	0	3	0	0	0	0	1	1	0	0	15	0	0
YKT6	1181	1747	1247	649	2216	236	494	685	1607	991	554	1670	2123	1388	1150	876
CAMK2B	2	1	1	0	2	0	0	17	0	2	0	1	2	3	2	0
NUDCD3	3004	3712	2448	1306	3078	841	662	1143	894	2634	1719	4169	1484	3225	1960	882
NPC1L1	0	2	0	0	0	1	0	0	0	14	0	1	0	22	1	10
DDX56	675	1496	1051	792	1979	317	471	490	565	1278	1367	3574	1404	1483	948	278
TMED4	2350	5696	3809	2909	6224	2562	697	973	1578	2953	3035	4598	3815	3768	3963	2733
OGDH	2009	2721	1815	244	3778	641	1539	1755	3395	2174	1745	4574	7013	3069	1506	4670
ZMIZ2	2117	1202	564	103	1395	39	792	723	1772	723	558	1607	2114	1262	716	1437
PPIA	20238	28948	24199	51314	45212	10562	5627	6742	12923	19940	26436	57806	16706	27954	32941	43430
H2AFV	9429	19260	15410	25640	49747	29138	4789	5888	16106	33334	15069	45625	16572	36778	14685	31433
PURB	7048	8225	7709	8900	10759	4570	885	835	1740	11243	5718	8829	7079	12147	9345	2941
MYO1G	3915	3524	2942	240	3092	3	436	495	3399	1769	1518	1915	9174	2660	3470	3411
CCM2	764	1803	1110	495	410	52	17	188	59	431	356	572	931	449	1181	345
NACAD	1	1	2	0	21	0	3	0	0	12	0	7	0	1	26	0
TBRG4	898	1123	894	145	1356	54	296	208	431	614	597	2371	568	1139	369	370
RAMP3	0	0	0	0	0	0	0	0	1	0	0	1	24	0	0	0
ADCY1	31	132	87	43	57	0	1	13	0	38	55	200	59	104	23	205
AC096582.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IGFBP3	33	202	310	4	0	0	0	0	0	54	0	0	0	11	104	0
AC011294.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TNS3	1791	0	1	1682	3800	179	1462	1982	4997	7423	3787	3640	9502	7797	76	3776
C7orf65	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf69	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PKD1L1	41	54	28	4	3	0	0	0	0	12	1	3	33	11	40	1
HUS1	4299	6113	4567	2097	3295	1310	550	310	1974	3478	1503	3148	4096	3613	3495	1833
SUN3	1	5	14	3	12	0	0	6	0	15	2	6	2	20	6	0
C7orf57	13	56	39	5	6	0	0	0	0	6	0	2	21	22	11	8
UPP1	61	2104	936	0	56	1	96	119	152	88	3	30	4882	98	1507	94
ABCA13	1	11	2	2	420	3	6	27	1	6192	505	29	118	2438	1	0
AC004899.1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0
VWC2	0	0	1	0	0	0	0	0	0	0	0	1	1	4	0	0
C7orf72	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0
